National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2023-24,Total,"121,227","92,754","28,473"
2023-24,Alabama,"1,128",839,289
2023-24,Alaska,45,37,8
2023-24,Arizona,"3,469","2,722",747
2023-24,Arkansas,500,417,83
2023-24,California,"11,912","9,120","2,792"
2023-24,Colorado,"2,525","1,944",581
2023-24,Connecticut,999,771,228
2023-24,Delaware,500,345,155
2023-24,District of Columbia,447,283,164
2023-24,Florida,"5,987","4,670","1,317"
2023-24,Georgia,"4,373","3,180","1,193"
2023-24,Hawaii,152,116,36
2023-24,Idaho,864,676,188
2023-24,Illinois,"4,032","3,067",965
2023-24,Indiana,"3,281","2,564",717
2023-24,Iowa,661,541,120
2023-24,Kansas,691,582,109
2023-24,Kentucky,777,641,136
2023-24,Louisiana,634,508,126
2023-24,Maine,215,169,46
2023-24,Maryland,"6,737","4,989","1,748"
2023-24,Massachusetts,"4,714","3,317","1,397"
2023-24,Michigan,"3,452","2,652",800
2023-24,Minnesota,"2,026","1,535",491
2023-24,Mississippi,329,265,64
2023-24,Missouri,"1,888","1,483",405
2023-24,Montana,204,152,52
2023-24,Nebraska,831,643,188
2023-24,Nevada,476,361,115
2023-24,New Hampshire,"2,646","1,983",663
2023-24,New Jersey,"3,324","2,559",765
2023-24,New Mexico,254,204,50
2023-24,New York,"8,847","6,320","2,527"
2023-24,North Carolina,"3,057","2,243",814
2023-24,North Dakota,152,130,22
2023-24,Ohio,"2,291","1,868",423
2023-24,Oklahoma,788,645,143
2023-24,Oregon,"1,484","1,188",296
2023-24,Pennsylvania,"5,292","3,903","1,389"
2023-24,Rhode Island,673,459,214
2023-24,South Carolina,960,772,188
2023-24,South Dakota,319,271,48
2023-24,Tennessee,"1,195",920,275
2023-24,Texas,"7,805","5,934","1,871"
2023-24,Utah,"7,742","6,718","1,024"
2023-24,Vermont,478,382,96
2023-24,Virginia,"4,110","3,137",973
2023-24,Washington,"3,224","2,290",934
2023-24,West Virginia,985,829,156
2023-24,Wisconsin,"1,718","1,381",337
2023-24,Wyoming,34,29,5
2022-23,Total,"113,523","87,403","26,120"
