"academic_year","degree_level","gender","value"
1965,"bachelor","male",83
1965,"bachelor","female",4
1965,"master","male",140
1965,"master","female",6
1965,"doctor","male",5
1965,"doctor","female",1
1966,"bachelor","male",76
1966,"bachelor","female",13
1966,"master","male",221
1966,"master","female",17
1966,"doctor","male",19
1966,"doctor","female",0
1967,"bachelor","male",198
1967,"bachelor","female",24
1967,"master","male",423
1967,"master","female",26
1967,"doctor","male",37
1967,"doctor","female",1
1968,"bachelor","male",404
1968,"bachelor","female",55
1968,"master","male",518
1968,"master","female",30
1968,"doctor","male",36
1968,"doctor","female",0
1969,"bachelor","male",812
1969,"bachelor","female",121
1969,"master","male",939
1969,"master","female",73
1969,"doctor","male",62
1969,"doctor","female",2
1970,"bachelor","male",1345
1970,"bachelor","female",199
1970,"master","male",1324
1970,"master","female",135
1970,"doctor","male",105
1970,"doctor","female",2
1971,"bachelor","male",2064
1971,"bachelor","female",324
1971,"master","male",1424
1971,"master","female",164
1971,"doctor","male",125
1971,"doctor","female",3
1972,"bachelor","male",2941
1972,"bachelor","female",461
1972,"master","male",1752
1972,"master","female",225
1972,"doctor","male",155
1972,"doctor","female",12
1973,"bachelor","male",3664
1973,"bachelor","female",640
1973,"master","male",1888
1973,"master","female",225
1973,"doctor","male",181
1973,"doctor","female",15
1974,"bachelor","male",3976
1974,"bachelor","female",780
1974,"master","male",1983
1974,"master","female",293
1974,"doctor","male",189
1974,"doctor","female",9
1975,"bachelor","male",4080
1975,"bachelor","female",953
1975,"master","male",1961
1975,"master","female",338
1975,"doctor","male",199
1975,"doctor","female",14
1976,"bachelor","male",4534
1976,"bachelor","female",1118
1976,"master","male",2226
1976,"master","female",377
1976,"doctor","male",221
1976,"doctor","female",23
1977,"bachelor","male",4876
1977,"bachelor","female",1531
1977,"master","male",2332
1977,"master","female",466
1977,"doctor","male",197
1977,"doctor","female",19
1978,"bachelor","male",5349
1978,"bachelor","female",1852
1978,"master","male",2471
1978,"master","female",567
1978,"doctor","male",181
1978,"doctor","female",15
1979,"bachelor","male",6272
1979,"bachelor","female",2447
1979,"master","male",2480
1979,"master","female",575
1979,"doctor","male",206
1979,"doctor","female",30
1980,"bachelor","male",7782
1980,"bachelor","female",3372
1980,"master","male",2883
1980,"master","female",764
1980,"doctor","male",213
1980,"doctor","female",27
1981,"bachelor","male",10202
1981,"bachelor","female",4919
1981,"master","male",3247
1981,"master","female",971
1981,"doctor","male",227
1981,"doctor","female",25
1982,"bachelor","male",13218
1982,"bachelor","female",7049
1982,"master","male",3625
1982,"master","female",1310
1982,"doctor","male",230
1982,"doctor","female",21
1983,"bachelor","male",15641
1983,"bachelor","female",8924
1983,"master","male",3813
1983,"master","female",1508
1983,"doctor","male",228
1983,"doctor","female",34
1984,"bachelor","male",20416
1984,"bachelor","female",12023
1984,"master","male",4379
1984,"master","female",1811
1984,"doctor","male",225
1984,"doctor","female",26
1985,"bachelor","male",24737
1985,"bachelor","female",14384
1985,"master","male",5064
1985,"master","female",2037
1985,"doctor","male",223
1985,"doctor","female",25
1986,"bachelor","male",27208
1986,"bachelor","female",15129
1986,"master","male",5658
1986,"master","female",2412
1986,"doctor","male",299
1986,"doctor","female",45
1987,"bachelor","male",25962
1987,"bachelor","female",13805
1987,"master","male",5985
1987,"master","female",2496
1987,"doctor","male",322
1987,"doctor","female",52
1988,"bachelor","male",23414
1988,"bachelor","female",11237
1988,"master","male",6726
1988,"master","female",2471
1988,"doctor","male",380
1988,"doctor","female",48
1989,"bachelor","male",21143
1989,"bachelor","female",9417
1989,"master","male",6775
1989,"master","female",2639
1989,"doctor","male",466
1989,"doctor","female",85
1990,"bachelor","male",19159
1990,"bachelor","female",8188
1990,"master","male",6960
1990,"master","female",2717
1990,"doctor","male",534
1990,"doctor","female",93
1991,"bachelor","male",17771
1991,"bachelor","female",7388
1991,"master","male",6563
1991,"master","female",2761
1991,"doctor","male",584
1991,"doctor","female",92
1992,"bachelor","male",17685
1992,"bachelor","female",7136
1992,"master","male",6980
1992,"master","female",2675
1992,"doctor","male",669
1992,"doctor","female",103
1993,"bachelor","male",17606
1993,"bachelor","female",6913
1993,"master","male",7557
1993,"master","female",2796
1993,"doctor","male",689
1993,"doctor","female",116
1994,"bachelor","male",17528
1994,"bachelor","female",6999
1994,"master","male",7836
1994,"master","female",2732
1994,"doctor","male",685
1994,"doctor","female",125
1995,"bachelor","male",17684
1995,"bachelor","female",7053
1995,"master","male",7805
1995,"master","female",2790
1995,"doctor","male",726
1995,"doctor","female",161
1996,"bachelor","male",17757
1996,"bachelor","female",6749
1996,"master","male",7729
1996,"master","female",2850
1996,"doctor","male",743
1996,"doctor","female",126
1997,"bachelor","male",18527
1997,"bachelor","female",6895
1997,"master","male",7526
1997,"master","female",2987
1997,"doctor","male",721
1997,"doctor","female",136
1998,"bachelor","male",20372
1998,"bachelor","female",7457
1998,"master","male",8343
1998,"master","female",3422
1998,"doctor","male",718
1998,"doctor","female",140
1999,"bachelor","male",22289
1999,"bachelor","female",8263
1999,"master","male",8866
1999,"master","female",3977
1999,"doctor","male",656
1999,"doctor","female",150
2020,"bachelor","male",27185
2020,"bachelor","female",10603
2020,"master","male",9978
2020,"master","female",5012
2020,"doctor","male",648
2020,"doctor","female",131
2001,"bachelor","male",31923
2001,"bachelor","female",12219
2001,"master","male",11195
2001,"master","female",5716
2001,"doctor","male",632
2001,"doctor","female",136
2002,"bachelor","male",36462
2002,"bachelor","female",13903
2002,"master","male",11447
2002,"master","female",5726
2002,"doctor","male",581
2002,"doctor","female",171
2003,"bachelor","male",41950
2003,"bachelor","female",15483
2003,"master","male",13267
2003,"master","female",6242
2003,"doctor","male",648
2003,"doctor","female",168
2004,"bachelor","male",44585
2004,"bachelor","female",14903
2004,"master","male",13868
2004,"master","female",6275
2004,"doctor","male",709
2004,"doctor","female",200
2005,"bachelor","male",42125
2005,"bachelor","female",11986
2005,"master","male",13136
2005,"master","female",5280
2005,"doctor","male",905
2005,"doctor","female",214
2006,"bachelor","male",37905
2006,"bachelor","female",9797
2006,"master","male",12579
2006,"master","female",4616
2006,"doctor","male",1109
2006,"doctor","female",307
2007,"bachelor","male",34338
2007,"bachelor","female",7826
2007,"master","male",11985
2007,"master","female",4247
2007,"doctor","male",1267
2007,"doctor","female",328
2008,"bachelor","male",31731
2008,"bachelor","female",6792
2008,"master","male",12516
2008,"master","female",4580
2008,"doctor","male",1322
2008,"doctor","female",375
2009,"bachelor","male",31213
2009,"bachelor","female",6779
2009,"master","male",13063
2009,"master","female",4844
2009,"doctor","male",1226
2009,"doctor","female",354
2010,"bachelor","male",32414
2010,"bachelor","female",7179
2010,"master","male",13019
2010,"master","female",4936
2010,"doctor","male",1250
2010,"doctor","female",349
2011,"bachelor","male",35477
2011,"bachelor","female",7589
2011,"master","male",14010
2011,"master","female",5506
2011,"doctor","male",1267
2011,"doctor","female",321
2012,"bachelor","male",38796
2012,"bachelor","female",8610
2012,"master","male",15132
2012,"master","female",5793
2012,"doctor","male",1332
2012,"doctor","female",366
2013,"bachelor","male",41874
2013,"bachelor","female",9087
2013,"master","male",16539
2013,"master","female",6243
2013,"doctor","male",1480
2013,"doctor","female",354
2014,"bachelor","male",45320
2014,"bachelor","female",9951
2014,"master","male",17472
2014,"master","female",7042
2014,"doctor","male",1566
2014,"doctor","female",416
2015,"bachelor","male",48844
2015,"bachelor","female",10742
2015,"master","male",21893
2015,"master","female",9582
2015,"doctor","male",1548
2015,"doctor","female",450
2016,"bachelor","male",52330
2016,"bachelor","female",12072
2016,"master","male",27788
2016,"master","female",12342
2016,"doctor","male",1591
2016,"doctor","female",398
2017,"bachelor","male",57763
2017,"bachelor","female",13653
2017,"master","male",32172
2017,"master","female",14381
2017,"doctor","male",1538
2017,"doctor","female",444
2018,"bachelor","male",63703
2018,"bachelor","female",15894
2018,"master","male",31397
2018,"master","female",15071
2018,"doctor","male",1580
2018,"doctor","female",437
2019,"bachelor","male",70322
2019,"bachelor","female",18316
2019,"master","male",30673
2019,"master","female",14998
2019,"doctor","male",1716
2019,"doctor","female",508
2020,"bachelor","male",76337
2020,"bachelor","female",20717
2020,"master","male",34399
2020,"master","female",17128
2020,"doctor","male",1868
2020,"doctor","female",547
2021,"bachelor","male",81926
2021,"bachelor","female",22957
2021,"master","male",35888
2021,"master","female",18286
2021,"doctor","male",1923
2021,"doctor","female",650
2022,"bachelor","male",83961
2022,"bachelor","female",24542
2022,"master","male",33899
2022,"master","female",17439
2022,"doctor","male",2074
2022,"doctor","female",716
